Date,Open,High,Low,Close,Adj Close,Volume
1999-12-27,3.856767,3.916667,3.843750,3.911458,3.620114,3183600
2000-01-03,3.937500,3.968750,3.291667,3.489583,3.229662,24535200
2000-01-10,3.500000,3.807292,3.322917,3.661458,3.388735,31207200
2000-01-17,3.708333,4.020833,3.541667,3.729167,3.451401,28754400
2000-01-24,3.848958,3.848958,2.989583,3.114583,2.882594,34479600
2000-01-31,3.130208,3.421875,2.916667,3.380208,3.128434,16408800
2000-02-07,3.395833,4.312500,3.166667,4.166667,3.856313,66730800
2000-02-14,4.177083,5.687500,4.135417,5.614583,5.196381,90420000
2000-02-21,5.437500,5.557292,4.875000,5.098958,4.719164,39423600
2000-02-28,5.072917,5.395833,4.791667,4.906250,4.540808,41805600
2000-03-06,4.937500,12.083333,4.833333,9.833333,9.100898,154179600
2000-03-13,8.916667,12.500000,7.665359,8.322917,7.702986,157164000
2000-03-20,8.651042,8.927083,7.250000,7.765625,7.187204,41838000
2000-03-27,7.750000,8.000000,5.875000,7.040359,6.515959,64414800
2000-04-03,6.976558,8.750000,4.750000,8.546875,7.910261,55162800
2000-04-10,8.692708,9.197917,5.458333,5.733067,5.306039,47538000
2000-04-17,5.250000,7.479167,5.250000,6.718750,6.218304,30097200
2000-04-24,6.333333,8.000000,6.052083,7.427083,6.873878,29245200
2000-05-01,7.708333,8.114583,6.666667,7.677083,7.105257,27360000
2000-05-08,7.479167,7.750000,6.510417,6.645833,6.150819,26744400
2000-05-15,6.614583,9.552083,6.291667,8.510417,7.876523,74256000
2000-05-22,8.416667,9.828125,7.671875,8.794267,8.139227,69699600
2000-05-29,9.031250,11.083333,8.989583,10.963542,10.146925,44608800
2000-06-05,10.947917,11.750000,9.833333,10.536458,9.751653,53203200
2000-06-12,10.583333,12.500000,9.916667,12.479167,11.549659,60734400
2000-06-19,12.447917,14.666667,12.135417,12.338542,11.419507,87476400
2000-06-26,12.583333,13.937500,9.583333,10.593750,9.804674,105089400
2000-07-03,10.666667,11.000000,8.791667,9.697917,8.975570,49027800
2000-07-10,9.531250,12.885417,9.437500,12.302083,11.385764,55841400
2000-07-17,12.489583,12.500000,10.927083,11.614583,10.749472,21841200
2000-07-24,11.625000,11.708333,8.333333,9.000000,8.329637,46017600
2000-07-31,9.500000,10.833333,9.000000,10.625000,9.833597,40768200
2000-08-07,10.697917,11.833333,10.229167,10.739583,9.939647,19991400
2000-08-14,10.875000,12.979167,10.500000,12.833333,11.877445,28816800
2000-08-21,13.302083,13.531250,11.375000,12.500000,11.568938,49045200
2000-08-28,12.562500,13.750000,12.416667,13.250000,12.263074,27744000
2000-09-04,13.562500,13.572917,12.020833,12.250000,11.337561,23467200
2000-09-11,12.093750,12.375000,11.291667,11.815100,10.935052,27769200
2000-09-18,11.843750,11.916667,10.416667,11.770833,10.894087,35656200
2000-09-25,12.135417,14.229167,12.041667,13.645833,12.629425,54718200
2000-10-02,13.833333,14.375000,11.239583,11.406250,10.556657,65316000
2000-10-09,11.114583,11.833333,9.708333,10.854167,10.045699,64939200
2000-10-16,10.854167,11.875000,8.760417,11.604167,10.739830,47541600
2000-10-23,11.697917,11.770833,9.375000,10.208333,9.447967,30958200
2000-10-30,10.041667,12.083333,9.479167,11.875000,10.990492,31435800
2000-11-06,12.156250,13.333333,9.541667,9.802083,9.071979,61253400
2000-11-13,9.312500,11.802083,9.000000,10.562500,9.775755,45973800
2000-11-20,10.171866,10.250000,8.666667,9.583333,8.869518,31402200
2000-11-27,10.270833,10.333333,6.062500,7.416667,6.864238,78708000
2000-12-04,7.463533,8.354167,6.187500,8.291667,7.674064,101524800
2000-12-11,8.020833,8.458333,6.208333,6.239583,5.774829,87641400
2000-12-18,6.500000,7.125000,4.583333,5.843750,5.408479,112620000
2000-12-25,5.916667,6.208333,5.229167,5.460933,5.054176,39942000
2001-01-01,5.500000,7.437500,4.708333,6.182283,5.721796,61234800
2001-01-08,6.010417,8.625000,6.010417,7.833333,7.249868,59656200
2001-01-15,7.875000,9.500000,7.093750,8.677083,8.030773,74361000
2001-01-22,8.416667,9.333333,7.692700,8.468750,7.837956,49058400
2001-01-29,8.208333,9.041667,7.750000,7.812500,7.230587,41215200
2001-02-05,7.802083,8.000000,7.062500,7.385417,6.835315,49557600
2001-02-12,7.302083,10.166667,6.833333,9.916667,9.178026,92566200
2001-02-19,9.666667,10.000000,8.500000,9.057283,8.382653,79944600
2001-02-26,8.791667,9.041667,6.666667,7.263017,6.722032,109962600
2001-03-05,6.979167,9.072917,6.937500,8.343750,7.722268,114027600
2001-03-12,8.062500,10.622383,7.687500,9.937500,9.197307,157420200
